Step1,Step2CK,AOA,CumulativeQuartile,#Ho0redClerkships,Ho0rs-AThisSpecialty,GHHS,OtherDegrees,ResearchYear,#ResearchExperiences,"#Abstracts,Pres,Posters",#Peer-RevPublications,#VolunteerExperiences,#LeadershipPositions,RequiredtoRemediate,PassAttempt-Step1,PassAttempt-Step2CK,PassAttempt-Step2CS,#ProgramsApplied,#InterviewsAttended,HomeState,Release-Step2CK,Release-Step2CS,MajorityofInterviewOffers,MajorityofInterviewsAttended,Matched
190,205,0,,1,1,0,MSc,1,1,4,3,1,1,1,1,,,1,1,FL,,LateJanuary,,October,1
190,205,0,2,1,1,1,MDiv,0,4,4,0,10,3,0,2,2,1,9,2,GA,LateJanuary,MidSeptember,PromptlyafterOct1(MSPErelease),October,1
190,210,0,,0,,0,,,6,9,,,,0,1,,,5,5,TX,LateJanuary,LateJanuary,EarlyOctober,,1
190,215,0,4,0,,1,,,0,0,,,,1,1,,,10,8,TX,LateSeptember,LateJanuary,EarlyOctober,,1
190,215,0,4,0,0,0,,0,2,2,0,8,8,0,2,2,2,60,5,,MidJanuary,LateJanuary,LateOctober,December,1
190,215,0,3,5,1,0,,0,1,1,0,2,0,0,1,2,1,83,2,,LateOctober,LateSeptember,PromptlyafterOct1(MSPErelease),December,1
190,220,0,4,1,0,0,,0,0,0,0,4,0,1,1,1,1,27,5,,MidSeptember,EarlyDecember,LateSeptember(beforeMSPErelease),October,0
190,225,0,4,0,0,0,,0,1,4,1,3,0,0,1,1,1,50,3,NY,LateSeptember,LateJanuary,Early0vember,January,0
190,225,0,4,0,0,0,,0,3,4,2,4,4,0,2,1,1,41,5,,MidSeptember,MidSeptember,LateOctober,October,1
190,225,0,4,0,0,0,,1,6,10,1,8,4,0,1,2,1,49,6,TX,MidSeptember,MidSeptember,MidOctober,0vember,0
190,225,0,4,0,0,0,,1,11,11,6,8,3,0,2,1,1,67,7,TX,MidSeptember,Early0vember,LateSeptember(beforeMSPErelease),January,1
190,235,0,,0,1,0,,1,1,2,1,11,6,1,1,2,1,41,8,,MidSeptember,MidSeptember,EarlyOctober,December,1
190,245,0,4,0,0,0,Other,0,3,3,1,3,4,0,1,1,1,6,5,KY,LateOctober,LateJanuary,Late0vember,December,0
195,205,0,,0,0,0,,0,4,5,1,1,0,0,1,1,1,35,6,,EarlyOctober,EarlyOctober,,December,1
195,210,0,3,0,0,1,MBA,0,4,3,3,6,3,0,2,2,1,30,6,KY,LateSeptember,AfterRankListSubmission,MidOctober,0vember,1
195,210,,,1,0,0,MBA,0,4,2,1,6,4,0,2,1,1,21,7,,MidSeptember,MidSeptember,MidOctober,0vember,1
195,210,0,4,2,0,0,,0,4,1,0,11,11,0,2,1,1,44,6,,LateSeptember,MidSeptember,Mid0vember,0vember,1
195,215,0,4,1,,0,,,6,7,,,,0,1,,,20,12,TX,,LateJanuary,PromptlyafterOct1(MSPErelease),,1
195,215,0,3,0,0,0,,0,5,5,0,11,8,1,1,1,2,60,9,PA,Late0vember,MidSeptember,LateSeptember(beforeMSPErelease),0vember,1
195,215,0,4,0,0,0,,0,2,0,0,11,3,0,1,,2,71,4,TX,AfterRankListSubmission,AfterRankListSubmission,EarlyOctober,December,0
195,215,0,3,1,0,0,,0,3,11,3,8,6,0,1,1,1,60,7,,MidSeptember,MidSeptember,MidOctober,0vember,1
195,215,0,,2,0,0,,0,1,2,0,7,4,0,1,1,1,21,5,MN,EarlyOctober,LateJanuary,LateSeptember(beforeMSPErelease),0vember,0
195,215,0,4,2,0,1,,0,2,0,0,4,5,1,1,1,1,84,14,,MidSeptember,MidJanuary,MidOctober,0vember,1
195,215,0,,0,1,0,,0,2,3,2,11,5,1,1,1,1,21,8,WI,MidJanuary,LateJanuary,LateSeptember(beforeMSPErelease),0vember,1
195,215,0,,1,1,0,,0,7,1,3,11,3,0,1,1,,38,12,MA,MidSeptember,MidSeptember,LateOctober,0vember,1
195,220,0,4,0,0,1,MPH,0,7,4,3,11,6,0,1,1,1,59,6,FL,MidSeptember,AfterRankListSubmission,EarlyOctober,0vember,0
